"Hi, not sure if the charger would work for my car. Can you sell it to me for $5?",init-price
"It will work, i have never seen a car without a cigarette lighter port.\",unknown
"Still, can I buy it for $5? I'm on a tight budge",insist
I think the lowest I would want to go is 8.,counter-price
How about $6 and I pick it up myself? It'll save you shipping to me.,counter-price
"7, and we have a deal.",counter-price
"Eh, fine. $7.",agree
"Hi,I am interested in your board!",intro
"Hi, do you have any questions?",unknown
Do you know what wood it is made out of?,inquiry
I do not know specifically but the brand is a gravity skateboard.,disagree
"The wheels seem nice on it, but they could be a beter quality. Would you accept 100 for the board?",init-price
"No, that offer is too low. The board is pretty much brand new as it's been ridden only 4 or 5 times.  The bone bearings are brand new.",vague-price
If I picked it up at your location would you accpet 120?,counter-price
Make it 150 and we got a deal.,counter-price
"I could do 145, if you can gurantee the painting on the front of the board is not scratched up.",counter-price
Deal,agree
Great!,agree
hello,intro
Hi,unknown
How old is the couch?,inquiry
It is practically brand new,inform
"As you know, the value goes down as soon as the couch goes out the door. I see the list price is 585. I can give you 400 for it and can pick it up today.",init-price
"Well as I said it has nearly no wear and was in a non-smoking home, I can go as low as 480 on it",counter-price
man thats a nice trak,intro
yes its really nice,unknown
how about you give it to me for 8000,init-price
That is way too little,unknown
i realy dont need it but i can pay you 8200 if you let it go,counter-price
I can go down to 14k but I can't knock off 6k,counter-price
"oh man i cant afford that, i need to buy food for my pigs and farm and send my child to private school, can you do 13k ?",counter-price
I will take 13k,agree
ok i can pick it up this weekend,unknown
sounds good,unknown
"Hi, I'd love to have this sofa, but I just can't pay that much for a used one. Would you take $50?",init-price
how about 120,counter-price
I just can't go that high. I can't even see what it looks like under that blanket and you stated that you bought it used so IDK were it's been,disagree
Well 90 is lowest I will go,counter-price
could you do 75 cash? That's all I've got right now,counter-price
"I appreciate the best offer, Its a deal",unknown
Hi iam interested in your MicroSD Card for sale,intro
Good.  What is your offer?,inquiry
"I would like to offer  you 65.00, I know their worth and that seems of correct value to me.",init-price
"Well I think there are a lot of opinions about the value, and I think it's good to open a dialog about the value.",unknown
"This is true, There are larger ones for same price, so I feel my price is fair. I would also pick up the item at your convience.",unknown
That's interesting.  I've seen ones my size sell for $85 in some places!  Picking up the item is a good offer too!,counter-price
"Really? I have seen them cheaper then that. How about I pick up the item anytime you are free, and I pay 69 for it?",counter-price
That's a pretty good offer.  Is it possible for you to come up to $71?,counter-price
Since I am picking it up I would like to stay at the 69.,insist
"Hmm...Okay, let me think about if for a minute.  You will definitely like this SD card.",unknown
"I am sure I will, it seems great, I also think you will like not having to leave your home or go out of your way. I would love to buy it, I could even meet you in the middle at 70.00.",counter-price
That sounds even better.  I accept your offer and look forward to seeing you.  I'm glad we could come to an agreement!,unknown
Hello,intro
Hi I am interested in your soundlink.,unknown
Great! I have it listed for $220 but am willing to negotiate.,init-price
What color is it?,inquiry
It is black.,inform
Would you take 120?,counter-price
It's new so I think $150 is a good deal for both of us.,counter-price
Would you accept $132 if I pick it up at your location?,counter-price
Okay. That works.,unknown
Hello,intro
Hi there. I had a few questions about the phone you are selling.,unknown
Sure,unknown
How old is the phone? I don`t see it stated anywhere.,inquiry
2 years old,inform
"Hmm ok. It says it`s like new, but 2 years old could possibly warrant a slightly lower price? Are you open for negotiation?",inquiry
Slightly,inform
The highest I can offer is around 100 dollars. Is this too low?,init-price
Yes,unknown
What would be your lowest point?,vague-price
good day!,intro
this is a rare bike,unknown
it looks like a great bike in wonderful condition,unknown
"it has served me good, i hope you take care of it",unknown
"Looks like this was made for me, I like the style. how doe $510 for it sound? I would like to pay lower, but sense it's a classic and rare, I thought this would be a fair price.",init-price
yes i priced it fair,unknown
hmmm any chance you can go to $550?,counter-price
"i can do that if you pick up today, its a today only special",unknown
gladly!,unknown
deal,agree
hi,intro
Hello,unknown
do you care to make an offer?,inquiry
"The place sounds nice, but may be a little more than I can afford",inform
well how much can you soend?,inquiry
I was looking for something in the 1500-1600 range,inform
"That is really unreasonable considering all the immenities and other going rates, you would need to come up to at least 3000",init-price
"I have seen some 2 bedrooms for that price, which I could split the cost with a roommate, so even with amenities, this may be out of my range",unknown
it may be then... the absolute lowest i will go is 2700. that is my final offer.,counter-price
"Ok, I think the most I could spend on this is 2000 - we are a ways apart",counter-price
ya that is far too low like i said 2700,insist
"Ok, thanks for your consideration. I will have to keep looking for now.",unknown
good luck,unknown
"I just  saw your ad for the adapters, would you take $10?",init-price
"Hi. No, $10 is very low for it. Its a very different adapter pack. I can accept $15",counter-price
"I don't want to pay that much, I see there are a few adapters in there that are obsolete. Wold you take $12?",counter-price
"okay, I can accept $12",agree
"Great, thanks",agree
"Hello, how are you today",intro
"Hi, very well thank you! So, is the DVD player in a good condition?",unknown
It is in great condition. I have barely taken it out of the box.,unknown
How much can you give it for?,inquiry
The price is $55,init-price
Yeah but its too much for me,unknown
I understand that would normally be a lot for a used DVD player but this item has only been used for one week.,unknown
"Yeah, but there are a lot of different options in the market. I am a student and can only afford what my budget allows me to do so. I can pay $41. Will you accept it?",counter-price
"I understand a student's budget, as I have no to long ago graduated myself. I just am already letting it go real cheap. I paid $130 for the product. The only reason I am parting with it is that It only streams the big streaming channels like Netflix, Hulu, Vudu and Youtube and I bought a DVD player/Android Box combo that will allow me to stream those plus add my own channels. I can't possibly sell it for $41.",counter-price
Okay I can only afford $48 that's the last I can pay,counter-price
"Make it $50 and we have a deal. I know it is a stretch to your budget but trust me with everything this player does, you will save more than $2 on entertainment",counter-price
Have the headphones been used?,intro
"No, they are new and very nice.",disagree
Can I use them with my gaming console?,inquiry
"Yes, you can.",inform
Any of them?,inquiry
Yes.,inform
Do you have one in a different color?,inquiry
"Yes, what color are you looking for?",inquiry
Blue,inform
I have that color.,unknown
Which color is this one? 125 a bit pricey,agree
This one is white.,unknown
"I guess it's a deal, lets see what happens if I accept",unknown
Hello.,intro
"Hello. I saw your listing and I am interested in your car. However, I have a few questions.",unknown
"Sure, go ahead.",unknown
Has it been in any major accidents?,inquiry
"No, I`ve kept it in very good condition.",disagree
"All of the electronics are in working order, correct?",inquiry
"Yes, everything has been checked out recently.",inform
"Great! Would you take $10,000? 120k miles is kinda a lot.",init-price
I`m open to negotiate but 10k is a bit low. We could meet in the middle and say 13 000? I`ll include the extra speakers I recently purchased.,agree
"13,000 is fair, however I can only afford paying 12,500",counter-price
"Alright, I think that`s reasonable. We can agree on 12,500 then.",agree
Great!,agree
hi there,intro
Hello. What would you like today?,unknown
your 2010 raleigh kodiak II looks amazing. Looks completely decked out. However 2000$ is a bit high for me right now. Can we negotiate a price?,init-price
Sure. Its definitely a great product. I would be willing to take $1800,init-price
perfect! just what i was gonna offer!,unknown
"I'm interested in this item, but I had some questions",intro
"Geat, ask away.",unknown
Do I have to remove it myself?,inquiry
"I am renting out the appartment, you ""Don't Remove Anything""",disagree
Nice. Is it fully furnished?,inquiry
"No, you will need your own ""basic"" furnishing",disagree
"How much is the security deposit, is there one?",inquiry
Just first and last month rent,inform
